                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3131,                 5.7306,                 4.3445,                      0,                      0,                      0,                      0,                 2.1404,                 5.6365,                 3.9885,                 0.0766,                 0.0026,                 0.0026
                      1,                 2.9167,                 5.5609,                 3.7799,                      0,                      0,                      0,                      0,                 2.0575,                 5.6333,                 3.8693,               0.052283,              0.0052825,              0.0052825
                      2,                 2.5752,                 5.1952,                 3.2894,                      0,                      0,                      0,                      0,                 2.0964,                 5.6515,                 3.8568,               0.027947,              0.0079472,              0.0079472
                      3,                 2.3793,                 4.5213,                 2.9214,                0.55346,                0.01819,                0.02984,                0.01641,                 1.9438,                  4.582,                 3.1666,               0.009901,               0.009901,               0.009901
                      4,                  2.207,                 3.9675,                 2.6922,                 0.4338,                0.08722,                0.06317,                0.02651,                 2.0785,                  3.402,                 2.8462,               0.009901,               0.009901,               0.009901
                      5,                  2.052,                  3.639,                 2.5161,                0.13903,                0.19769,                0.07958,                0.03663,                 1.9861,                 3.2266,                 2.7701,               0.009868,               0.009868,               0.009868
                      6,                 1.8991,                 3.3059,                 2.3392,                0.02034,                0.59742,                0.10912,                0.05214,                 1.9827,                 3.6159,                 2.8089,               0.009835,               0.009835,               0.009835
                      7,                 1.8331,                 3.1402,                 2.2959,                0.02812,                0.86312,                0.22645,                0.13052,                 1.5435,                 3.3461,                 2.3343,               0.009802,               0.009802,               0.009802
                      8,                 1.7481,                 2.9114,                 2.1966,                0.22569,                0.54712,                0.31188,                0.18829,                 1.5946,                 2.9445,                 2.3211,               0.009769,               0.009769,               0.009769
                      9,                  1.646,                 2.7172,                  2.121,                0.37364,                0.53071,                0.44613,                0.28811,                 1.4297,                 2.1895,                 2.1232,               0.009736,               0.009736,               0.009736
                     10,                 1.5824,                 2.5593,                  2.061,                0.51838,                0.61184,                0.60793,                0.38927,                 1.4512,                 2.0947,                 2.1712,               0.009703,               0.009703,               0.009703
                     11,                 1.5582,                 2.3567,                 2.0604,                0.65714,                0.43199,                0.64505,                0.41236,                 1.3788,                 2.2952,                 2.0741,                0.00967,                0.00967,                0.00967
                     12,                 1.5043,                 2.2015,                 1.9913,                0.59223,                0.61988,                0.71213,                0.43807,                 1.4473,                 1.9516,                 2.1526,               0.009637,               0.009637,               0.009637
                     13,                 1.4949,                 2.1745,                 1.9943,                0.52697,                0.74601,                0.76031,                0.41539,                 1.6846,                 1.8792,                 2.4285,               0.009604,               0.009604,               0.009604
                     14,                 1.4298,                 1.9599,                 1.9043,                0.58523,                0.76374,                0.81801,                0.51739,                 1.3894,                 1.5185,                 2.0578,               0.009571,               0.009571,               0.009571
                     15,                 1.4104,                 1.9121,                 1.8981,                0.57527,                0.89945,                0.91094,                0.56752,                 1.4048,                 1.4199,                 2.0542,               0.009538,               0.009538,               0.009538
                     16,                 1.4184,                 1.7992,                 1.8957,                0.70353,                0.83485,                0.90273,                0.57048,                  1.413,                 1.2748,                 2.0837,               0.009505,               0.009505,               0.009505
                     17,                 1.3994,                 1.7539,                 1.9175,                0.69397,                0.83234,                0.91783,                0.58304,                 1.3544,                 1.2762,                 2.0205,               0.009472,               0.009472,               0.009472
                     18,                 1.3871,                 1.7013,                 1.8546,                0.74944,                0.82922,                0.91435,                0.55739,                 1.4536,                 1.1845,                 2.0989,               0.009439,               0.009439,               0.009439
                     19,                 1.3673,                 1.5977,                 1.8521,                0.71672,                0.83949,                0.87317,                0.58003,                 1.2673,                 1.2416,                 1.9291,               0.009406,               0.009406,               0.009406
                     20,                 1.3488,                 1.5319,                 1.8399,                0.73494,                0.87149,                0.92357,                0.58805,                  1.335,                  1.058,                 2.0003,               0.009373,               0.009373,               0.009373
                     21,                 1.3613,                 1.4616,                 1.8221,                0.84284,                0.90604,                0.96237,                 0.6456,                  1.253,                0.96755,                 1.9029,                0.00934,                0.00934,                0.00934
                     22,                 1.3352,                 1.4099,                 1.8026,                0.79128,                 0.9038,                0.96033,                0.61322,                 1.3529,                0.97794,                 2.0062,               0.009307,               0.009307,               0.009307
                     23,                 1.3257,                 1.3537,                 1.7815,                0.87335,                0.91822,                0.97567,                0.64876,                 1.2622,                0.91458,                 1.9155,               0.009274,               0.009274,               0.009274
