                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2703,                 4.5375,                 2.9491,                0.85966,                0.00813,                0.01243,                0.00497,                 2.0224,                 3.3093,                 1.8848,               0.070096,              0.0033226,              0.0033226
                      1,                  1.901,                 3.0316,                 1.6838,                0.65495,                0.11439,                0.11183,                0.07456,                 1.2861,                 2.2952,                 1.2999,               0.040083,              0.0066428,              0.0066428
                      2,                 1.5542,                 2.2558,                 1.4133,                0.46784,                0.36732,                0.34007,                0.24843,                 1.0502,                 1.4931,                 1.1615,               0.010057,              0.0099497,              0.0099497
                      3,                 1.3511,                 1.6401,                 1.2786,                0.64727,                0.57377,                0.60471,                0.43403,                 1.0193,                 1.0504,                   1.11,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.2361,                 1.2992,                 1.2026,                0.79743,                 0.6117,                 0.7333,                0.50062,                 1.0476,                0.94537,                 1.0884,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1565,                 1.1232,                 1.1578,                0.87721,                0.68691,                0.79234,                0.59592,                0.90428,                0.80522,                 1.0497,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.1119,                 1.0094,                 1.1332,                0.82457,                0.77527,                0.84624,                0.64456,                0.85127,                0.68088,                 1.0202,               0.009901,               0.009901,               0.009901
                      7,                 1.0727,                0.92975,                 1.1098,                0.88612,                0.77403,                0.87152,                0.67759,                0.81997,                0.62339,                 1.0067,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.0457,                0.87272,                 1.0967,                0.89096,                0.79564,                0.91413,                0.71001,                0.80935,                0.57796,                 1.0033,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.0218,                0.83579,                 1.0852,                0.87982,                0.82916,                0.92062,                  0.685,                0.87668,                 0.5697,                 1.0144,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.0057,                0.79876,                 1.0773,                0.87554,                0.88189,                 0.9444,                0.71388,                0.82775,                0.54391,                 1.0065,              0.0098218,              0.0098218,              0.0098218
                     11,                0.98812,                0.77072,                 1.0731,                0.86534,                0.91839,                 0.9475,                0.73915,                0.78202,                0.52294,                0.99135,               0.009802,               0.009802,               0.009802
                     12,                0.97323,                0.73994,                 1.0647,                 0.8987,                0.91937,                0.95965,                0.75135,                 0.7645,                0.50157,                0.97512,              0.0097822,              0.0097822,              0.0097822
                     13,                0.95487,                0.71009,                 1.0579,                0.91735,                0.91275,                0.95163,                0.74859,                0.76198,                0.49461,                0.98233,              0.0097624,              0.0097624,              0.0097624
                     14,                0.95272,                 0.6905,                 1.0546,                0.88598,                0.93314,                0.95873,                0.75419,                0.76469,                0.47603,                0.97908,              0.0097426,              0.0097426,              0.0097426
                     15,                0.93518,                0.67003,                 1.0463,                0.93851,                0.92046,                0.96264,                0.76008,                0.75812,                0.47842,                0.97997,              0.0097228,              0.0097228,              0.0097228
                     16,                0.92827,                0.66054,                 1.0454,                 0.9503,                0.91074,                0.96586,                0.77477,                0.73185,                0.45575,                0.96688,               0.009703,               0.009703,               0.009703
                     17,                0.92073,                  0.645,                 1.0443,                0.94023,                0.92706,                0.97074,                0.77199,                0.74479,                0.45848,                0.97032,              0.0096832,              0.0096832,              0.0096832
                     18,                0.91278,                0.63012,                 1.0388,                0.93463,                0.94367,                0.96928,                0.76799,                0.74582,                0.44965,                0.96787,              0.0096634,              0.0096634,              0.0096634
                     19,                0.90356,                0.62169,                 1.0297,                0.93683,                0.94445,                0.97344,                0.77209,                0.74955,                0.43602,                0.96793,              0.0096436,              0.0096436,              0.0096436
                     20,                0.89448,                0.60654,                 1.0289,                0.93949,                0.93361,                0.97169,                0.78021,                0.71763,                0.42817,                0.95345,              0.0096238,              0.0096238,              0.0096238
                     21,                0.89315,                0.60041,                 1.0284,                0.94049,                0.94441,                0.97228,                0.77418,                 0.7433,                0.43327,                0.96639,               0.009604,               0.009604,               0.009604
                     22,                0.89108,                0.58465,                 1.0238,                 0.9163,                0.94666,                0.97331,                0.77885,                0.71988,                0.41513,                0.95633,              0.0095842,              0.0095842,              0.0095842
