                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4311,                 5.7873,                 4.5099,                      0,                      0,                      0,                      0,                 2.4786,                 5.6412,                  4.151,                 0.0946,                 0.0006,                 0.0006
                      1,                 3.4203,                 5.7424,                  4.448,                      0,                      0,                      0,                      0,                 2.4205,                 5.6366,                 4.0938,               0.088291,              0.0012914,              0.0012914
                      2,                 3.3378,                 5.7186,                 4.2791,                      0,                      0,                      0,                      0,                 2.3507,                 5.6324,                 4.0411,               0.081974,              0.0019736,              0.0019736
                      3,                 3.3335,                   5.67,                 4.1696,                      0,                      0,                      0,                      0,                 2.2887,                 5.6275,                 4.0058,               0.075647,              0.0026465,              0.0026465
                      4,                 3.3067,                 5.6495,                 4.0675,                      0,                      0,                      0,                      0,                 2.1993,                 5.6261,                 3.9633,                0.06931,              0.0033102,              0.0033102
                      5,                 3.0695,                 5.5737,                 3.8811,                      0,                      0,                      0,                      0,                 2.1329,                 5.6229,                  3.933,               0.062965,              0.0039647,              0.0039647
                      6,                 2.9433,                 5.5322,                 3.7768,                      0,                      0,                      0,                      0,                 2.0762,                 5.6227,                 3.9005,                0.05661,              0.0046099,              0.0046099
                      7,                 2.7868,                 5.4416,                 3.6185,                      0,                      0,                      0,                      0,                 2.0667,                 5.6232,                 3.8893,               0.050246,              0.0052459,              0.0052459
                      8,                 2.6846,                 5.3968,                 3.6054,                      0,                      0,                      0,                      0,                 2.0631,                 5.6242,                 3.8788,               0.043873,              0.0058726,              0.0058726
                      9,                 2.5522,                 5.3081,                 3.4855,                      0,                      0,                      0,                      0,                 2.0627,                 5.6284,                 3.8718,                0.03749,              0.0064901,              0.0064901
                     10,                 2.4966,                 5.1814,                 3.2889,                      0,                      0,                      0,                      0,                 2.0631,                 5.6341,                 3.8691,               0.031098,              0.0070984,              0.0070984
                     11,                 2.5051,                 4.9596,                 3.1293,                      0,                      0,                      0,                      0,                 2.0584,                 5.6426,                 3.8693,               0.024697,              0.0076974,              0.0076974
                     12,                 2.4372,                 4.8243,                  3.017,                      0,                      0,                      0,                      0,                 2.0579,                 5.6458,                 3.8698,               0.018287,              0.0082872,              0.0082872
                     13,                 2.2944,                  4.548,                 2.8816,                      0,                      0,                      0,                      0,                 2.0412,                 5.6425,                 3.8397,               0.011868,              0.0088677,              0.0088677
                     14,                 2.3059,                 4.5235,                 3.0301,                0.49552,                0.05847,                 0.0239,                 0.0117,                 2.0731,                 5.2427,                 3.1854,               0.009076,               0.009076,               0.009076
                     15,                 2.2803,                 4.3825,                 2.8074,                0.48203,                 0.0972,                0.03808,                0.02139,                 1.8522,                 5.8562,                 2.7931,               0.009076,               0.009076,               0.009076
                     16,                 2.3942,                 4.1464,                 2.8319,                0.43357,                 0.1244,                0.03891,                0.01244,                 2.6906,                 13.295,                 3.8627,                0.00901,                0.00901,                0.00901
                     17,                  2.283,                 3.9722,                 2.8055,                0.28627,                0.16624,                0.04833,                0.02041,                 2.1705,                 6.2882,                 3.0482,               0.008944,               0.008944,               0.008944
                     18,                 2.2461,                 3.9707,                 2.7481,                0.18633,                0.17648,                0.04339,                0.02137,                 1.9057,                 6.6414,                 2.8084,               0.008878,               0.008878,               0.008878
                     19,                    2.1,                 3.7829,                   2.64,                 0.1524,                0.16643,                0.03495,                0.01507,                  2.003,                  12.46,                 2.9381,               0.008812,               0.008812,               0.008812
                     20,                 2.1658,                 3.8331,                  2.721,                0.14809,                0.26315,                0.04427,                 0.0191,                 2.1032,                 4.5707,                 2.9533,               0.008746,               0.008746,               0.008746
                     21,                 2.1013,                 3.6995,                 2.6281,                0.19415,                0.21852,                0.04322,                0.01457,                  2.381,                 4.1584,                 3.2286,                0.00868,                0.00868,                0.00868
                     22,                 2.0638,                 3.8121,                 2.6421,                0.13868,                0.20894,                0.04248,                0.01414,                 2.5679,                 4.4749,                 3.3935,               0.008614,               0.008614,               0.008614
                     23,                 2.0172,                  3.627,                 2.5003,                0.07992,                0.34243,                0.04806,                0.02673,                 1.7649,                 4.7718,                  2.685,               0.008548,               0.008548,               0.008548
                     24,                 2.0139,                 3.5886,                  2.539,                0.09856,                0.25386,                   0.05,                0.02251,                 2.0055,                 4.9421,                 2.8692,               0.008482,               0.008482,               0.008482
