                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1959,                 5.6633,                 4.2576,                      0,                      0,                      0,                      0,                 2.1199,                  5.629,                 3.9282,               0.070857,              0.0032381,              0.0032381
                      1,                 2.7067,                 5.3231,                 3.4787,                      0,                      0,                      0,                      0,                 2.1009,                 5.6384,                 3.8542,               0.040844,              0.0065584,              0.0065584
                      2,                 2.4116,                 4.5602,                 2.9105,                      0,                      0,                      0,                      0,                 2.0905,                 5.6913,                 3.8785,               0.010818,              0.0098655,              0.0098655
