                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2703,                 4.5375,                 2.9491,                0.85966,                0.00813,                0.01243,                0.00497,                 2.0224,                 3.3093,                 1.8848,               0.070096,              0.0033226,              0.0033226
                      1,                 1.8981,                  3.029,                 1.6832,                0.67675,                0.11484,                0.11045,                0.07414,                 1.2796,                 2.3057,                 1.3004,               0.040031,              0.0065901,              0.0065901
                      2,                 1.5585,                 2.2651,                 1.4159,                0.53758,                0.32587,                0.33613,                0.24517,                 1.0569,                 1.5856,                 1.1481,              0.0098987,              0.0097915,              0.0097915
                      3,                 1.3495,                 1.6444,                 1.2784,                0.64989,                0.53259,                0.58878,                0.40628,                  1.114,                 1.1241,                 1.1411,               0.009703,               0.009703,               0.009703
                      4,                 1.2339,                 1.3095,                 1.2034,                0.79857,                0.62534,                0.72624,                0.48882,                  1.086,                0.88296,                 1.0928,               0.009703,               0.009703,               0.009703
                      5,                 1.1566,                 1.1259,                  1.157,                0.79541,                0.72767,                0.79663,                0.59859,                0.88388,                0.76967,                  1.038,               0.009604,               0.009604,               0.009604
                      6,                 1.1087,                 1.0128,                 1.1315,                 0.8072,                0.78648,                0.84978,                0.64439,                0.85838,                0.69303,                 1.0247,               0.009505,               0.009505,               0.009505
                      7,                 1.0672,                0.93292,                 1.1069,                0.90266,                0.78344,                0.88359,                0.68092,                0.81544,                 0.6061,                 1.0029,               0.009406,               0.009406,               0.009406
                      8,                 1.0428,                0.87188,                  1.096,                0.88831,                 0.8106,                0.90734,                0.70313,                0.79494,                0.57787,                0.99999,               0.009307,               0.009307,               0.009307
                      9,                 1.0185,                0.83899,                 1.0836,                0.87793,                0.84558,                0.91661,                0.68233,                0.86249,                0.56438,                 1.0056,               0.009208,               0.009208,               0.009208
                     10,                 1.0014,                 0.7989,                 1.0752,                0.90636,                0.84734,                 0.9328,                0.71164,                0.82444,                0.55097,                 1.0024,               0.009109,               0.009109,               0.009109
                     11,                0.98443,                 0.7748,                 1.0722,                0.87471,                0.89152,                0.94405,                0.73085,                0.79019,                0.52479,                0.99136,                0.00901,                0.00901,                0.00901
                     12,                0.96926,                0.74152,                 1.0626,                0.86705,                 0.9252,                0.94312,                 0.7374,                0.76911,                0.51002,                0.97918,               0.008911,               0.008911,               0.008911
                     13,                0.94839,                0.71355,                 1.0555,                 0.9154,                0.90193,                0.95462,                 0.7528,                0.76231,                0.50389,                0.97788,               0.008812,               0.008812,               0.008812
                     14,                0.94673,                0.69554,                 1.0531,                0.94222,                0.87479,                0.95732,                0.75309,                0.76905,                0.48441,                 0.9818,               0.008713,               0.008713,               0.008713
                     15,                0.92857,                0.67362,                 1.0444,                0.93376,                0.90687,                0.96043,                0.75786,                 0.7568,                0.48326,                0.98055,               0.008614,               0.008614,               0.008614
                     16,                0.92036,                0.66491,                  1.043,                0.92281,                0.90488,                0.96229,                0.76766,                0.74253,                0.46219,                0.97135,               0.008515,               0.008515,               0.008515
                     17,                 0.9139,                0.64873,                 1.0415,                0.91051,                0.93745,                0.96555,                0.76542,                0.74444,                 0.4589,                0.97083,               0.008416,               0.008416,               0.008416
                     18,                0.90666,                0.63709,                 1.0373,                0.91283,                0.94214,                0.96636,                0.76714,                0.74584,                0.45318,                0.96435,               0.008317,               0.008317,               0.008317
                     19,                 0.8986,                0.62518,                 1.0276,                0.94305,                0.91911,                0.96654,                 0.7693,                0.74152,                0.43992,                0.96533,               0.008218,               0.008218,               0.008218
                     20,                0.88837,                0.60739,                  1.027,                0.94297,                0.94386,                0.97395,                0.78174,                 0.7179,                0.42675,                0.95453,               0.008119,               0.008119,               0.008119
