                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1955,                 4.5712,                 2.9469,                 0.1877,                0.05437,                0.01459,                0.00644,                 1.8962,                 3.7376,                 1.7773,               0.070096,              0.0033226,              0.0033226
                      1,                 1.8916,                 2.9688,                 1.6608,                0.54876,                0.13183,                0.13149,                 0.0833,                 1.3494,                 2.3037,                  1.335,               0.040083,              0.0066428,              0.0066428
                      2,                 1.5862,                  2.223,                 1.4209,                0.54317,                0.31273,                0.33129,                0.22635,                 1.2066,                  1.703,                 1.2212,               0.010057,              0.0099497,              0.0099497
                      3,                 1.3989,                 1.6996,                 1.2997,                0.68249,                0.50126,                0.53971,                0.38884,                 1.0671,                 1.2619,                  1.147,              0.0099406,              0.0099406,              0.0099406
                      4,                  1.277,                 1.3739,                 1.2225,                0.79527,                0.62354,                0.69067,                0.45975,                   1.09,                0.93857,                 1.0994,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.2018,                 1.1966,                 1.1753,                0.83323,                0.69335,                0.76806,                0.57438,                0.89039,                  0.797,                 1.0343,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.1494,                 1.0866,                 1.1412,                0.84249,                0.74211,                0.81459,                0.59516,                0.92932,                0.75961,                 1.0404,               0.009901,               0.009901,               0.009901
                      7,                 1.1088,                0.99437,                 1.1147,                0.88748,                0.77198,                0.85814,                0.64242,                0.87913,                0.68154,                 1.0075,              0.0098812,              0.0098812,              0.0098812
                      8,                  1.082,                0.93512,                  1.101,                0.90337,                0.78313,                0.88387,                0.67365,                0.82789,                0.63024,                0.99111,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.0553,                0.89475,                 1.0873,                0.88974,                0.81427,                0.89764,                0.66566,                0.88326,                0.64293,                0.99049,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.0416,                0.85246,                 1.0764,                0.89113,                  0.834,                0.91624,                0.67752,                0.88157,                0.59955,                0.99579,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.0213,                0.82392,                 1.0722,                0.88159,                0.84924,                0.92768,                0.71358,                0.81388,                0.57186,                0.97124,               0.009802,               0.009802,               0.009802
                     12,                 1.0091,                0.78907,                 1.0635,                0.89485,                0.86519,                0.92871,                0.72298,                0.78656,                0.56671,                0.96066,              0.0097822,              0.0097822,              0.0097822
                     13,                   0.99,                0.76207,                 1.0546,                0.92625,                0.87959,                0.94505,                0.72777,                0.80155,                  0.555,                0.96229,              0.0097624,              0.0097624,              0.0097624
                     14,                0.98556,                0.74313,                 1.0505,                0.91326,                0.87815,                0.94467,                0.73029,                0.81468,                0.53141,                0.96733,              0.0097426,              0.0097426,              0.0097426
                     15,                0.97547,                0.71964,                 1.0449,                0.91414,                0.89837,                0.95411,                0.73949,                0.78882,                0.52074,                0.96438,              0.0097228,              0.0097228,              0.0097228
                     16,                0.96211,                0.70665,                 1.0403,                0.91119,                0.90478,                0.94657,                0.74721,                 0.7581,                0.51361,                0.95083,               0.009703,               0.009703,               0.009703
                     17,                0.95889,                0.69403,                 1.0402,                0.88642,                 0.9226,                0.95636,                0.74637,                0.76179,                0.49744,                0.94751,              0.0096832,              0.0096832,              0.0096832
                     18,                0.94777,                0.67847,                 1.0356,                0.94687,                0.87761,                 0.9632,                0.74206,                0.77537,                0.49454,                0.94792,              0.0096634,              0.0096634,              0.0096634
                     19,                0.93919,                 0.6634,                 1.0256,                0.93192,                0.92558,                0.96332,                0.75989,                0.75155,                0.47493,                0.94434,              0.0096436,              0.0096436,              0.0096436
                     20,                0.92493,                0.64812,                 1.0241,                0.93473,                0.92759,                0.96724,                0.76207,                0.74917,                0.47837,                0.93855,              0.0096238,              0.0096238,              0.0096238
                     21,                0.92444,                0.64488,                  1.024,                0.92257,                0.93929,                0.96858,                0.76281,                0.74865,                0.47626,                0.93883,               0.009604,               0.009604,               0.009604
