                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.73951,                0.39331,                0.94155,                0.96704,                  0.981,                0.98833,                0.82122,                0.65479,                0.31945,                0.88719,               0.070096,              0.0033226,              0.0033226
                      1,                0.75283,                0.40326,                0.94282,                0.96963,                0.97741,                0.98762,                0.81999,                0.65976,                0.32543,                 0.8893,               0.040074,               0.006634,               0.006634
                      2,                0.76155,                0.41716,                0.94691,                0.96393,                0.97491,                0.98783,                0.81947,                0.66845,                0.33057,                0.89193,               0.010031,              0.0099234,              0.0099234
                      3,                0.78122,                0.43494,                0.95475,                0.96484,                0.97053,                0.98587,                0.80316,                0.69363,                 0.3555,                 0.9044,               0.009901,               0.009901,               0.009901
                      4,                0.78623,                0.43847,                0.95748,                0.96099,                0.97425,                0.98774,                0.79018,                0.72407,                0.36023,                0.90901,               0.009901,               0.009901,               0.009901
                      5,                0.79142,                0.44276,                0.96059,                0.97108,                0.96173,                0.98756,                0.80507,                0.70413,                0.36057,                0.90227,               0.009868,               0.009868,               0.009868
                      6,                 0.7894,                0.44332,                0.95933,                0.96763,                0.96935,                0.98565,                0.79392,                0.70856,                0.36217,                0.91081,               0.009835,               0.009835,               0.009835
                      7,                0.78817,                0.43725,                 0.9554,                0.97114,                0.97263,                0.98647,                0.80404,                0.69992,                0.35523,                0.90112,               0.009802,               0.009802,               0.009802
                      8,                0.78949,                0.43947,                0.95673,                0.96215,                0.97298,                0.98497,                0.80567,                0.69166,                0.34216,                0.90122,               0.009769,               0.009769,               0.009769
                      9,                  0.789,                0.44081,                0.95758,                0.97055,                0.97159,                0.98576,                0.79665,                0.70355,                0.35234,                0.90537,               0.009736,               0.009736,               0.009736
                     10,                0.78851,                0.43905,                0.95697,                0.96481,                0.97324,                0.98587,                0.80419,                0.69575,                 0.3559,                0.90498,               0.009703,               0.009703,               0.009703
                     11,                 0.7867,                0.44088,                0.95852,                0.95911,                0.96602,                0.98697,                0.79664,                0.72863,                0.37351,                0.91423,                0.00967,                0.00967,                0.00967
                     12,                0.78725,                0.43954,                0.95875,                0.96385,                0.97695,                0.98663,                 0.8037,                0.69677,                0.35232,                0.90304,               0.009637,               0.009637,               0.009637
                     13,                0.77839,                0.43372,                0.95617,                0.96992,                0.97249,                 0.9847,                0.80314,                0.68847,                0.35194,                0.90122,               0.009604,               0.009604,               0.009604
