                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1355,                0.83795,                   1.23,                0.98858,                0.99517,                0.99443,                0.69861,                 1.0819,                0.52389,                 1.2323,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.1156,                0.79554,                 1.2097,                0.98677,                0.99346,                0.99453,                0.70496,                 1.0716,                0.50482,                 1.2204,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.1225,                0.79033,                 1.2073,                0.98983,                0.99716,                0.99443,                0.71412,                 1.0426,                0.49326,                  1.206,               0.009307,               0.009307,               0.009307
                     37,                 1.1254,                0.79275,                 1.2044,                0.99056,                0.99076,                0.99421,                0.70147,                 1.0786,                0.50273,                 1.2333,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.1148,                0.79158,                 1.2171,                0.99229,                 0.9959,                0.99449,                0.71149,                 1.0544,                0.48831,                 1.2112,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.1163,                 0.8027,                 1.2194,                0.98744,                0.99363,                0.99451,                0.70551,                 1.0683,                0.50023,                 1.2088,              0.0092476,              0.0092476,              0.0092476
                     40,                  1.104,                0.79283,                 1.2148,                0.97925,                0.98755,                0.99363,                 0.7108,                 1.0506,                0.51256,                 1.2115,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.1115,                0.77532,                  1.208,                0.98847,                0.99537,                0.99482,                0.71071,                 1.0454,                  0.494,                 1.2128,               0.009208,               0.009208,               0.009208
                     42,                 1.1058,                0.76009,                 1.2055,                 0.9904,                0.99684,                 0.9946,                0.71734,                  1.035,                0.49247,                  1.194,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.1118,                0.75514,                 1.2044,                0.99019,                0.99161,                0.99453,                0.71408,                 1.0431,                0.48368,                 1.2106,              0.0091684,              0.0091684,              0.0091684
                     44,                  1.095,                0.75794,                 1.2061,                0.98903,                0.99517,                0.99467,                0.71491,                 1.0352,                0.47617,                 1.2052,              0.0091486,              0.0091486,              0.0091486
                     45,                  1.091,                0.74949,                 1.1848,                0.99329,                0.99574,                0.99466,                0.72309,                 1.0182,                0.46362,                 1.1889,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.0935,                0.74949,                 1.1907,                0.99213,                0.99649,                0.99446,                0.72284,                 1.0116,                0.46815,                  1.194,               0.009109,               0.009109,               0.009109
                     47,                 1.0951,                0.73689,                 1.1932,                0.99145,                0.99688,                0.99463,                0.72854,                 1.0013,                 0.4549,                 1.1814,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.0664,                0.72244,                 1.1897,                0.99145,                 0.9954,                0.99482,                0.72548,                 1.0144,                 0.4712,                 1.1964,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.0808,                0.73223,                  1.191,                0.99238,                0.99606,                0.99471,                0.72368,                  1.015,                0.45287,                 1.1834,              0.0090496,              0.0090496,              0.0090496
                     50,                  1.076,                0.72876,                 1.1884,                0.99111,                0.99568,                0.99492,                0.73419,                 0.9826,                0.44318,                 1.1747,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.0689,                0.71978,                 1.1922,                0.99225,                0.99565,                0.99493,                  0.734,                0.99275,                0.44208,                 1.1754,                0.00901,                0.00901,                0.00901
                     52,                  1.067,                0.72882,                 1.1877,                0.99005,                0.99726,                0.99498,                0.73606,                0.98069,                0.43724,                 1.1685,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.0772,                 0.7246,                  1.188,                 0.9929,                0.99565,                0.99494,                 0.7379,                0.97889,                0.44301,                 1.1658,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.0457,                 0.7108,                  1.175,                0.99357,                0.99593,                0.99496,                0.73874,                0.97581,                0.43814,                 1.1649,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.0606,                 0.7228,                 1.1852,                0.99162,                0.99523,                0.99496,                0.73942,                0.97868,                0.43942,                  1.156,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.0653,                0.71092,                 1.1757,                0.98967,                0.99498,                0.99487,                0.72268,                 1.0335,                0.45247,                 1.1933,               0.008911,               0.008911,               0.008911
                     57,                 1.0468,                 0.6853,                 1.1713,                0.99433,                0.99536,                0.99496,                0.73556,                0.98183,                 0.4406,                   1.17,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.0532,                0.69936,                 1.1583,                0.98495,                0.99098,                0.99409,                0.72631,                 1.0016,                0.46459,                  1.178,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.0505,                 0.6903,                  1.173,                0.98965,                 0.9959,                0.99484,                0.73972,                0.97063,                0.43532,                 1.1509,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.0365,                0.69524,                 1.1711,                0.98971,                0.99703,                0.99482,                0.73353,                0.97728,                0.43759,                 1.1625,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.0412,                0.69452,                 1.1777,                0.99106,                 0.9966,                0.99496,                0.73189,                 0.9907,                 0.4371,                 1.1707,               0.008812,               0.008812,               0.008812
